decimalLatitude,decimalLongitude,species,eventDate,dateIdentified,depth
19.2925,-81.3873,Kyphosus sectatrix,2012-10-04T11:00Z,2012-10-04T00:00:00,7.315
18.476,-77.3095,Gymnothorax meleagris,2005-12-27T08:51Z,2005-12-27T00:00:00,6.005
25.0096,-80.3745,Hypanus sabinus,2013-01-01T16:15Z,2013-01-01T00:00:00,5.485
20.3406,-87.0225,Gymnothorax moringa,2012-12-22T10:11Z,2012-12-22T00:00:00,11.43
19.2925,-81.3873,Sparisoma viride,2012-10-04T11:00Z,2012-10-04T00:00:00,7.315
20.6962,-86.9343,Sphyraena sphyraena,2012-12-14T10:45Z,2012-12-14T00:00:00,6.4
18.476,-77.3095,Astichopus multifidus,2005-12-27T08:51Z,2005-12-27T00:00:00,6.005
25.0096,-80.3745,Stegastes variabilis,2013-01-01T16:15Z,2013-01-01T00:00:00,5.485
20.3406,-87.0225,Panulirus argus,2012-12-22T10:11Z,2012-12-22T00:00:00,11.43
19.2925,-81.3873,Lachnolaimus maximus,2012-10-04T11:00Z,2012-10-04T00:00:00,7.315
13.5248,120.976,Lactoria cornuta,2012-12-19T00:38Z,2012-12-19T00:00:00,9.6
27.9603,34.3984,Neotrygon kuhlii,2005-08-17T15:42Z,2005-08-17T00:00:00,13.0
25.0096,-80.3745,Dascyllus aruanus,2013-01-01T16:15Z,2013-01-01T00:00:00,5.485
27.7462,34.2551,Eretmochelys imbricata,2005-08-10T12:15Z,2005-08-10T00:00:00,11.505
19.2925,-81.3873,Lactophrys bicaudalis,2012-10-04T11:00Z,2012-10-04T00:00:00,7.315
13.5248,120.976,Diodon holocanthus,2012-12-19T00:38Z,2012-12-19T00:00:00,9.6
27.9906,34.4603,Gymnothorax javanicus,2005-08-17T12:35Z,2005-08-17T00:00:00,13.0
25.0096,-80.3745,Chilomycterus reticulatus,2013-01-01T16:15Z,2013-01-01T00:00:00,5.485
27.7462,34.2551,Seriola lalandi,2005-08-10T12:15Z,2005-08-10T00:00:00,11.505
19.2925,-81.3873,Acanthocybium solandri,2012-10-04T11:00Z,2012-10-04T00:00:00,7.315
13.5248,120.976,Aulostomus chinensis,2012-12-19T00:38Z,2012-12-19T00:00:00,9.6
27.9906,34.4603,Galeocerdo cuvier,2005-08-17T12:35Z,2005-08-17T00:00:00,13.0
25.0096,-80.3745,Carcharhinus perezii,2013-01-01T16:15Z,2013-01-01T00:00:00,5.485
18.3184,-78.3617,Tursiops truncatus,2008-02-23T09:30Z,2008-02-23T00:00:00,12.845
27.9135,34.3694,Rhizoprionodon acutus,2005-08-07T15:07Z,2005-08-07T00:00:00,8.0
11.9684,120.055,Cirrhipathes anguina,2012-12-15T00:45Z,2012-12-15T00:00:00,7.62
28.0058,34.4713,Sphyrna zygaena,2005-08-17T10:47Z,2005-08-17T00:00:00,14.005
18.3467,-78.3511,Myliobatis aquila,2008-02-17T14:22Z,2008-02-17T00:00:00,14.555
19.3647,-81.4078,Gymnothorax funebris,2012-10-06T11:00Z,2012-10-06T00:00:00,17.22
28.0058,34.4713,Eretmochelys imbricata,2005-08-07T12:42Z,2005-08-07T00:00:00,9.995
18.3223,-78.3576,Narcine brasiliensis,2004-11-20T11:02Z,2004-11-20T00:00:00,8.075
27.8473,34.3088,Epinephelus aeneus,2005-08-10T14:47Z,2005-08-10T00:00:00,9.995
27.7252,34.2585,Chelonia mydas,2005-08-10T10:22Z,2005-08-10T00:00:00,14.005
-27.5281,32.7269,Myliobatis aquila,2012-12-01T09:35Z,2012-12-01T00:00:00,6.65
18.3223,-78.3576,Ginglymostoma cirratum,2004-11-20T11:02Z,2004-11-20T00:00:00,8.075
-27.5281,32.7269,Scarus ghobban,2012-12-01T09:35Z,2012-12-01T00:00:00,6.65
25.0096,-80.3745,Aulostomus maculatus,2012-12-30T14:16Z,2012-12-30T00:00:00,3.96
27.7252,34.2585,Gymnothorax johnsoni,2005-08-10T10:22Z,2005-08-10T00:00:00,14.005
-27.5281,32.7269,Gymnothorax eurostus,2012-12-01T09:35Z,2012-12-01T00:00:00,6.65
25.0096,-80.3745,Pomacanthus paru,2012-12-30T14:16Z,2012-12-30T00:00:00,3.96
-27.5281,32.7269,Scarus rubroviolaceus,2012-12-01T09:35Z,2012-12-01T00:00:00,6.65
19.7577,-70.5279,Panulirus argus,2012-12-31T13:21Z,2012-12-31T00:00:00,8.0
27.7252,34.2585,Sphyraena sphyraena,2005-08-10T10:22Z,2005-08-10T00:00:00,14.005
16.8879,94.2726,Linuparus trigonus,2012-12-27T10:30Z,2012-12-27T00:00:00,5.44
19.7577,-70.5279,Pseudosynanceia melanostigma,2012-12-31T13:21Z,2012-12-31T00:00:00,8.0
19.7577,-70.5279,Chlopsis dentatus,2012-12-31T13:21Z,2012-12-31T00:00:00,8.0
