scientificName,taxonKey
"Halichoeres maculipinna (Müller & Troschel, 1848)",2384125
"Dasyatis sabina (Lesueur, 1824)",2419514
"Thalassoma bifasciatum (Bloch, 1791)",2384533
"Scarus vetula Bloch & Schneider, 1801",2393681
"Pomacanthus paru (Bloch, 1787)",2396447
"Sphoeroides yergeri Shipp, 1972",2407856
"Myrichthys ocellatus (Lesueur, 1825)",2404482
"Callinectes bocourti A.Milne-Edwards, 1879",2225648
"Octopus hubbsorum S.S.Berry, 1953",2289709
"Acanthocarpus alexandri Stimpson, 1871",5178360
"Opsanus pardus (Goode & Bean, 1880)",2350906
"Lagocephalus lagocephalus (Linnaeus, 1758)",4284320
"Petrochirus diogenes (Linnaeus, 1758)",2224492
"Chromis atrilobata Gill, 1862",5212245
"Lophius piscatorius Linnaeus, 1758",2415075
"Remora remora (Linnaeus, 1758)",2375267
"Acanthostracion polygonius Poey, 1876",2408186
"Lactophrys bicaudalis (Linnaeus, 1758)",2408100
"Epinephelus itajara (Lichtenstein, 1822)",2388456
"Diaphorodoris luteocincta (M.Sars, 1870)",2292112
"Chaetodipterus faber (Broussonet, 1782)",2394320
"Rhynchobatus djiddensis (Forsskål, 1775)",2418935
"Sphyrna zygaena (Linnaeus, 1758)",2418794
"Alestes baremoze (Joannis, 1835)",2356096
"Acanthurus leucosternon Bennett, 1833",5209210
"Carcharhinus melanopterus (Quoy & Gaimard, 1824)",2417981
"Abudefduf conformis Randall & Earle, 1999",2398622
"Scarus psittacus Forsskål, 1775",2393800
"Rhina ancylostoma Bloch & Schneider, 1801",5963013
"Lutjanus monostigma (Cuvier, 1828)",2385027
"Pastinachus sephen (Forsskål, 1775)",2419714
"Rhinoptera bonasus (Mitchill, 1815)",5215777
"Chaetodon falcula Bloch, 1795",2385419
"Acanthurus sohal (Forsskål, 1775)",5209184
"Cynoponticus ferox Costa, 1846",2403230
"Myliobatis aquila (Linnaeus, 1758)",2419310
"Serranus sanctaehelenae Boulenger, 1895",2388716
"Chorilia longipes Dana, 1851",2226723
"Muraena helena Linnaeus, 1758",2404329
"Anguilla rostrata (Lesueur, 1817)",5212956
"Cliona celata Grant, 1826",5183631
"Lutjanus campechanus (Poey, 1860)",2384865
"Pterois antennata (Bloch, 1787)",2334443
"Himantura imbricatus (Bloch & Schneider, 1801)",5215895
"Oedalechilus labeo (Cuvier, 1829)",2400921
"Acanthurus chirurgus (Bloch, 1787)",5209174
"Hippocampus kuda Bleeker, 1852",5201037
"Hippocampus guttulatus Cuvier, 1829",5201064
"Galathea strigosa (Linnaeus, 1760)",5178351
"Manta alfredi (Krefft, 1868)",2419160
"Dentex dentex (Linnaeus, 1758)",2392679
"Gymnothorax pictus (Ahl, 1789)",2403789
"Ctenolabrus rupestris (Linnaeus, 1758)",2383163
"Pagurus bernhardus (Linnaeus, 1758)",2224231
"Entelurus aequoreus (Linnaeus, 1758)",2333112
"Syngnathus acus Linnaeus, 1758",2332927
"Symphodus melops (Linnaeus, 1758)",2383978
"Dicotylichthys punctulatus Kaup, 1855",2406508
"Metridium senile (Linnaeus, 1761)",5183974
"Octopus tetricus Gould, 1852",2289640
"Procambarus clarkii (Girard, 1852)",2227300
"Arothron hispidus (Linnaeus, 1758)",2407378
"Ceratosoma amoenum (Cheeseman, 1886)",5794856
"Heterodontus portusjacksoni (Meyer, 1793)",5215675
"Gadus macrocephalus Tilesius, 1810",2415853
"Pteromylaeus asperrimus (Gilbert, 1898)",2419152
"Stenopus hispidus (Olivier, 1811)",5178716
"Dasyatis longa (Garman, 1880)",2419473
"Forcipiger flavissimus Jordan & McGregor, 1898",2385706
"Sphyraena guachancho Cuvier, 1829",2394232
"Epinephelus aeneus (Geoffroy Saint-Hilaire, 1817)",2388415
"Abalistes filamentosus Matsuura & Yoshino, 2004",2407223
"Fistularia corneta Gilbert & Starks, 1904",5200930
"Sphyraena putnamae Jordan & Seale, 1905",2394217
"Alpheus edwardsii (Andouin, 1826)",2226103
"Epinephelus costae (Steindachner, 1878)",2388567
"Marthasterias glacialis (Linnaeus, 1758)",2274204
"Diplodus sargus (Linnaeus, 1758)",5210968
"Aplysina aerophoba (Nardo, 1833)",2239334
"Sparisoma cretense (Linnaeus, 1758)",2393905
"Epinephelus tauvina (Forsskål, 1775)",2388137
"Acentronura dendritica (Barbour, 1905)",2332974
"Trachinotus ovatus (Linnaeus, 1758)",5210674
"Sarpa salpa (Linnaeus, 1758)",2392628
"Rypticus saponaceus (Bloch & Schneider, 1801)",2387710
"Agelas oroides (Schmidt, 1864)",2249185
"Pterois radiata Cuvier, 1829",2334440
"Dendrochirus brachypterus (Cuvier, 1829)",2334536
"Thalassoma lutescens (Lay & Bennett, 1839)",2384092
"Carangoides fulvoguttatus (Forsskål, 1775)",5210529
"Gymnothorax miliaris (Kaup, 1856)",2403816
"Coryphoblennius galerita (Linnaeus, 1758)",2395367
"Lima lima (Linnaeus, 1758)",2288720
"Aluterus scriptus (Osbeck, 1765)",2406721
"Pagrus pagrus (Linnaeus, 1758)",5210913
"Chaceon affinis (A.Milne-Edwards & Bouvier, 1894)",2225530
"Gymnura micrura (Bloch & Schneider, 1801)",5216218
"Stephanocoenia intersepta (Lamarck, 1816)",2259444
"Heniochus acuminatus (Linnaeus, 1758)",2385730
"Scorpaenopsis cirrosa (Thunberg, 1793)",2334749
"Carangoides bajad (Forsskål, 1775)",5210537
"Salaria pavo (Risso, 1810)",5211367
"Dendronotus frondosus (Ascanius, 1774)",2292071
"Pomacanthus arcuatus (Linnaeus, 1758)",2396435
"Physalia physalis (Linnaeus, 1758)",2264734
"Scorpaenopsis macrochir Ogilby, 1910",2334772
"Pseudobalistes naufragium (Jordan & Starks, 1895)",2407179
"Hermodice carunculata (Pallas, 1766)",2317552
"Dasyatis pastinaca (Linnaeus, 1758)",2419543
"Mycteroperca microlepis (Goode & Bean, 1879)",2388994
"Lutjanus fulviflamma (Forsskål, 1775)",2384777
"Taeniura meyeni Müller & Henle, 1841",5215814
"Nemateleotris magnifica Fowler, 1938",2385839
"Ocyurus chrysurus (Bloch, 1791)",2385282
"Opisthoteuthis californiana S.S.Berry, 1949",2289248
"Holocentrus adscensionis (Osbeck, 1765)",5204778
"Odontodactylus cultrifer (White, 1850)",4649686
"Cephalopholis polleni (Bleeker, 1868)",2388849
"Millepora alcicornis Linnaeus, 1758",2265089
"Pomacanthus imperator (Bloch, 1787)",2396426
"Arothron diadematus (Rüppell, 1829)",2407403
"Gymnothorax buroensis (Bleeker, 1857)",2403955
"Parachela oxygastroides (Bleeker, 1852)",5206708
"Epinephelus merra Bloch, 1793",2388193
"Ostracion cubicus Linnaeus, 1758",5213766
"Epinephelus stictus Randall & Allen, 1987",2388336
"Pomacentrus bankanensis Bleeker, 1854",2398294
"Chaetodon fasciatus Forsskål, 1775",2385538
"Coris julis (Linnaeus, 1758)",5209780
"Fistularia commersonii Rüppell, 1838",5200938
"Dasyatis brevicaudatus (Hutton, 1875)",2419490
"Scarus guacamaia Cuvier, 1829",2393779
"Gnathanodon speciosus (Forsskål, 1775)",2391331
"Myliobatis goodei Garman, 1885",2419318
"Acanthurus nigrofuscus (Forsskål, 1775)",5209227
"Carangoides ruber (Bloch, 1793)",5210567
"Parribacus antarcticus (Lund, 1793)",2221751
"Pomacentrus brachialis Cuvier, 1830",2398325
"Aetobatus flagellum (Bloch & Schneider, 1801)",2419243
"Fistularia petimba Lacepède, 1803",5200931
"Condylactis gigantea (Weinland, 1860)",2256741
"Muraena retifera Goode & Bean, 1882",2404310
"Scarus coelestinus Valenciennes, 1840",2393609
"Hexabranchus sanguineus (Rüppell & Leuckart, 1830)",5724734
"Ambassis miops Günther, 1872",2387328
"Pomacanthus annularis (Bloch, 1787)",2396404
