scientificName,taxonKey,Common Name
"Astropecten duplicatus Gray, 1840",5186492,two-spined star fish
"Brissus brissus Tortonese, 1933",10970235,No common name found
"Pavona maldivensis (Gardiner, 1905)",2260539,leaf coral
"Thalassoma trilobatum (Lacepède, 1801)",2384546,Christmas wrasse
"Amphiprion latifasciatus Allen, 1972",5212067,Madagascar anemonefish
"Amphiprion chagosensis Allen, 1972",5212054,Chagos anemonefish
"Flabellina McMurtrie, 1831",9778871,No common name found
"Echidna nocturna (Cope, 1872)",5213099,Freckled moray
"Amphiprion fuscocaudatus Allen, 1972",5212056,Seychelles anemonefish
"Sarpa Bonaparte, 1831",2392627,No common name found
"Parajulis poecilepterus (Temminck & Schlegel, 1845)",2383563,Multicolorfin rainbowfish
"Pempheris vanicolensis Cuvier, 1831",2374398,Vanikoro sweeper
"Homarus Weber, 1795",5972002,No common name found
"Echinaster serpentarius Müller & Troschel, 1842",2273668,No common name found
"Lepidochelys kempii Garman, 1880",2442165,Atlantic Ridley
"Urogymnus asperrimus (Bloch & Schneider, 1801)",2419580,African ray
"Naso fageni Morrow, 1954",5209110,Horseface unicornfish
"Hoplolatilus cuniculus Randall & Dooley, 1974",2389854,Green tilefish
"Phoxocampus belcheri (Kaup, 1856)",2333360,Rock pipefish
"Scorpaenopsis cotticeps Fowler, 1938",2334719,Sculpin scorpionfish
"Pegasus volitans Linnaeus, 1758",2356573,Longtail seamoth
"Stethojulis albovittata (Bonnaterre, 1788)",2383410,Bluelined wrasse
"Leucoraja yucatanensis (Bigelow & Schroeder, 1950)",2419883,Yucatan skate
"Fenestraja plutonia (Garman, 1881)",2419932,Pluto skate
"Ablabys taenianotus (Cuvier, 1829)",2335204,Cockatoo waspfish
"Salarias fasciatus (Bloch, 1786)",2396090,Jewelled blenny
"Odontaspis noronhai (Maul, 1955)",2420762,Bigeye sand tiger
"Monacanthus tuckeri Bean, 1906",2406877,Slender Filefish
"Scarus coeruleus (Edwards, 1771)",9811485,Blue parrotfish
"Opsanus dichrostomus Collette, 2001",2350909,bicolor toadfish
"Hypoplectrus puella (Cuvier, 1828)",2388790,Barred hamlet
"Myrophis punctatus Lütken, 1852",2404576,Speckled worm eel
"Variola louti (Forsskål, 1775)",2389100,"Chameleon Grouper, Moontail seabass, Yellow-edged lyretail"
"Citharichthys arctifrons Goode, 1880",2408719,Gulf Stream flounder
"Xyrichtys splendens Castelnau, 1855",2383030,Green razorfish
"Scorpaena guttata Girard, 1854",2334627,California scorpionfish
"Diadumene leucolena (Verrill, 1866)",2257920,white anemone
"Microspathodon chrysurus (Cuvier, 1830)",2398749,Yellowtail damselfish
"Scomber japonicus Houttuyn, 1782",7599552,American mackerel
"Lutjanus mahogoni (Cuvier, 1828)",2385023,Mahogany snapper
"Acentronura tentaculata Günther, 1870",2332977,Shortpouch pygmy pipehorse
"Scyllarides nodifer (Stimpson, 1866)",2221738,ridged slipper lobster
"Sphyraena chrysotaenia Klunzinger, 1884",2394252,Obtuse barracuda
"Cirrhilabrus rubriventralis Springer & Randall, 1974",2383846,Social wrasse
"Pseudocheilinus evanidus Jordan & Evermann, 1903",2383692,Striated wrasse
"Sargocentron hastatum (Cuvier, 1829)",2356754,Red soldierfish
"Cephalopholis oligosticta Randall & Ben-Tuvia, 1983",2388820,Vermilion hind
"Aluterus monoceros (Linnaeus, 1758)",2406708,Batfish
"Prionotus rubio Jordan, 1886",5201565,Blackwing Searobin
"Halichoeres cosmetus Randall & Smith, 1982",2384073,Adorned wrasse
"Naso hexacanthus (Bleeker, 1855)",5209121,Blacktounge unicornfish
"Astropecten cingulatus Sladen, 1883",5186539,No common name found
"Chaetodon baronessa Cuvier, 1829",2385322,Eastern triangular butterflyfish
"Sphoeroides trichocephalus (Cope, 1870)",2407835,Pygmy puffer
"Aulostomus Lacepède, 1803",2332594,Trumpetfishes
"Pterois sphex Jordan & Evermann, 1903",2334439,Hawaiian turkeyfish
"Scorpaena stephanica Cadenat, 1943",2334656,Red scorpionfish
"Holacanthus africanus Cadenat, 1951",5211464,Guinean angelfish
"Urobatis concentricus Osburn & Nichols, 1916",2420465,reef stingray
"Tursiops aduncus (Ehrenberg, 1833)",2440455,Indo-Pacific Bottlenose Dolphin
"Pseudotolithus epipercus (Bleeker, 1863)",2399598,Guinea croaker
"Rhinobatos rhinobatos (Linnaeus, 1758)",2419005,Common guitarfish
"Taeniura grabata (Geoffroy Saint-Hilaire, 1817)",5215808,Round stingray
"Megalocranchia oceanica (G.L.Voss, 1960)",2289943,No common name found
"Lepophidium negropinna Hildebrand & Barton, 1949",2345600,Specklefin cusk-eel
"Nototodarus hawaiiensis (S.S.Berry, 1912)",2290534,Hawaiian flying squid
"Parascorpaena mcadamsi (Fowler, 1938)",2334494,McAdam's Scorpionfish
"Pavona clavus (Dana, 1846)",2260542,leaf coral
"Salaria fluviatilis (Asso, 1801)",4409525,No common name found
"Flabellina verrucosa (M.Sars, 1829)",5190135,red-finger aeolis
"Sparus Linnaeus, 1758",2356661,No common name found
"Etmopterus virens Bigelow, Schroeder & Springer, 1953",2421076,Green lantern shark
"Linuche unguiculata (Swartz, 1788)",2264393,thimble jellyfish
"Pecten maximus (Linnaeus, 1758)",2285980,Great Scallop
Acipenseridae,2947,sturgeons
"Canthigaster Swainson, 1839",2407643,Sharpnosed Puffers
"Arenaeus cribrarius (Lamarck, 1818)",2225554,speckled swimming crab
Cheloniidae,9413,Sea Turtles
"Lagenorhynchus acutus (Gray, 1828)",5220073,Atlantic White-sided Dolphin
"Sphoeroides pachygaster (Müller & Troschel, 1848)",2407845,Blunthead puffer
"Chilomycterus antillarum Jordan & Rutter, 1897",2406483,Web Burrfish
"Selene setapinnis (Mitchill, 1815)",2390733,Bluntnosed shiner
"Mercenaria mercenaria (Linnaeus, 1758)",2287668,American Hard-shelled Clam
"Achirus lineatus (Linnaeus, 1758)",2408224,Lined sole
"Ambloplites rupestris (Rafinesque, 1817)",2394514,Redeye
"Diplodus bermudensis Caldwell, 1965",5210960,Bermuda porgy
Scorpaenidae,4508,rockfishes
"Bodianus pulchellus (Poey, 1860)",5209681,Hogfish
"Himantura schmardae (Werner, 1904)",5215940,Caribbean whiptail stingray
"Synanceia Bloch & Schneider, 1801",5201173,No common name found
"Sebastes nigrocinctus Ayres, 1859",2335492,Tiger rockfish
"Lepidotrigla papilio (Cuvier, 1829)",2336692,Australian spiny gurnard
"Pseudoginglymostoma brevicaudatum (Günther, 1867)",2417493,Nurse shark
"Funiculina quadrangularis (Pallas, 1766)",2258652,Tall Sea Pen
"Coryphopterus personatus (Jordan & Thompson, 1905)",2377831,Masked Goby
"Persephona mediterranea (Herbst, 1794)",2221809,mottled purse crab
"Alcyonium digitatum Linnaeus, 1758",5185175,dead man's fingers
"Ophiocomina nigra (Abildgaard, 1789)",2275361,black brittle star
"Scyllarides deceptor Holthuis, 1963",2221736,hooded slipper lobster
"Callanthias ruber (Rafinesque, 1810)",2384679,No common name found
"Thalassoma newtoni (Osório, 1891)",2384490,Ornate wrasse
"Ginsburgellus novemlineatus (Fowler, 1950)",2378179,Nineline goby
"Gobius paganellus Linnaeus, 1758",8196993,Blutgrundel
"Elacatinus multifasciatus (Steindachner, 1876)",2376736,greenband goby
"Sepiola Leach, 1817",2289163,No common name found
"Coryphopterus glaucofraenum Gill, 1863",2377816,Bridled Goby
"Aplysilla sulfurea Schulze, 1878",2248672,sulfur sponge
"Canthigaster smithae Allen & Randall, 1977",2407644,Bicolored toby
"Coryphopterus eidolon Böhlke & Robins, 1960",2377828,Pallid goby
"Plesionika antigai Zariguiey Alvarez, 1955",2222397,Catalonian Striped Shrimp
"Elacatinus oceanops Jordan, 1904",2376717,neon goby
"Galeocharax gulo (Cope, 1870)",2354199,No common name found
"Pasiphaea sivado (Risso, 1816)",2222279,white glass shrimp
"Torpedo macneilli (Whitley, 1932)",5215532,"Short-tail torpedo ray, Shorttail torpedo"
"Aiptasiogeton pellucidus (Hollard, 1848)",2257298,No common name found
Antennariidae,7677,Frogfishes
"Doryrhamphus excisus Kaup, 1856",4286276,Bluestripe Pipefish
"Cirrhitichthys oxycephalus (Bleeker, 1855)",2375154,Pixy hawkfish
"Scyllarus depressus (S.I.Smith, 1881)",2221672,scaled slipper lobster
"Gobionellus oceanicus (Pallas, 1770)",2375711,Highfin Goby
"Arothron immaculatus (Bloch & Schneider, 1801)",2407364,Immaculate puffer
"Anthopleura xanthogrammica (Brandt, 1835)",2256852,giant green anemone
"Metridium farcimen (Tilesius, 1809)",9789416,No common name found
"Merluccius merluccius (Linnaeus, 1758)",2415643,No common name found
"Mystus gulio (Hamilton, 1822)",5201896,Long whiskers catfish
"Sebastes caurinus Richardson, 1844",2335455,Copper rockfish
"Filicampus tigris (Castelnau, 1879)",2332755,Tiger pipefish
"Sebastes pinniger (Gill, 1864)",2335525,Canary rockfish
"Polyprion americanus (Bloch & Schneider, 1801)",5211265,Bass groper
"Istigobius decoratus (Herre, 1927)",2376229,Decorated goby
"Scomber scombrus Linnaeus, 1758",2374149,Atlantic mackerel
"Tetrapturus albidus Poey, 1860",2397964,Atlantic white marlin
"Calamus calamus (Valenciennes, 1830)",5210995,Goat's head porgy
"Antennarius radiosus Garman, 1896",5214787,singlespot frogfish
"Monacanthus ciliatus (Mitchill, 1818)",2406871,Fringed filefish
"Bathyanthias mexicanus (Schultz, 1958)",2387514,Yellowtail bass
"Moenkhausia oligolepis (Günther, 1864)",2352558,Glass tetra
"Charax gibbosus (Linnaeus, 1758)",5204518,Glass headstander
"Makaira nigricans Lacepède, 1802",8098719,No common name found
"Pachygrapsus transversus (Gibbes, 1850)",2225816,mottled shore crab
"Istigobius spence (Smith, 1947)",2376260,Pearl goby
"Psammogobius biocellatus (Valenciennes, 1837)",2378083,Estuary goby
"Ambassis gymnocephalus (Lacepède, 1802)",2387311,Bald glassy
"Parambassis ranga (Hamilton, 1822)",2387235,Chanda ranga
"Sebastapistes cyanostigma (Bleeker, 1856)",5201235,Yellowspotted scorpionfish
"Erpetoichthys calabaricus Smith, 1865",2346564,Reedfish
"Pardachirus marmoratus (Lacepède, 1802)",2410167,Moses sole
"Solmundella bitentaculata (Quoy & Gaimard, 1833)",2269434,No common name found
"Euthynnus alletteratus (Rafinesque, 1810)",5208565,Atlantic black skipjack
"Datnioides microlepis Bleeker, 1854",5210838,Finescale tigerfish
"Ogcocephalus vespertilio (Linnaeus, 1758)",5214834,Batfish
"Pseudanthias tuka (Herre & Montalban, 1927)",2387643,Purple queen
"Dasyatis marianae Gomes, Rosa & Gadig, 2000",2419471,No common name found
"Hirundichthys affinis (Günther, 1866)",2368680,Flyingfish
"Sepia arabica Massy, 1916",2290855,Arabian Cuttlefish
"Argonauta nouryi Lorois, 1852",5189601,rough-keeled argonaut
"Lampsilis radiata (Gmelin, 1791)",2288149,Eastern Lampmussel
"Scomberomorus commerson (Lacepède, 1800)",2374255,Barred Spanish mackerel
"Chromis xanthura (Bleeker, 1854)",5212176,Black chromis
"Hemiscyllium hallstromi Whitley, 1967",5215502,Papuan epaulette shark
"Microstomus kitt (Walbaum, 1792)",5214022,Lemon sole
"Siganus magnificus (Burgess, 1977)",2390372,Magnificent rabbitfish
"Pogonias cromis (Linnaeus, 1766)",5212349,Black drum
"Plectranthias sagamiensis (Katayama, 1964)",2388003,No common name found
"Doto maculata (Montagu, 1804)",5190050,No common name found
"Synodus falcatus Waples & Randall, 1989",5212646,No common name found
"Amblyeleotris steinitzi (Klausewitz, 1974)",2378812,Steinitz' prawn-goby
"Orcynopsis unicolor (Geoffroy Saint-Hilaire, 1817)",2373921,Bonito
"Scarus rivulatus Valenciennes, 1840",2390341,No common name found
"Siganus javus (Linnaeus, 1766)",2390192,Bluespotted spinefoot
"Scarus hypselopterus Bleeker, 1853",2393716,Java parrotfish
"Cheilinus trilobatus Lacepède, 1801",2383305,No common name found
"Chaetodon gardineri Norman, 1939",2385555,Gardiner's butterflyfish
"Vincentia punctata (Klunzinger, 1879)",5211553,Orange cardinalfish
"Montipora floweri Wells, 1954",2259970,pore coral
"Diagramma labiosum Macleay, 1883",5209597,Painted sweetlips
"Agaricia grahamae Wells, 1973",2260505,Graham's sheet coral
"Porites lutea Milne Edwards & Haime, 1851",5184758,hump coral
"Oregonia gracilis Dana, 1851",2226644,graceful decorator crab
"Elacatinus genie (Böhlke & Robins, 1968)",2376707,Cleaning goby
"Mugilogobius durbanensis (Barnard, 1927)",2376836,Durban goby
"Pomacentrus aquilus Allen & Randall, 1980",2398352,Dark damsel
"Tubastraea tagusensis Wells, 1982",2259547,No common name found
Demospongiae,199,demosponges
Caulerpa racemosa (Forssk.) J.Agardh,2643093,Green Grape Algae
"Gymnothorax mareei Poll, 1953",2403846,Spotjaw moray
"Leptogorgia puniacea (Milne Edwards & Haime, 1857)",2264098,sea whip
Ophiuridae,3218,No common name found
Echinoidea,221,Heart Urchins
Sphenopidae,3365,No common name found
"Stenorhynchus Lamarck, 1818",2226577,No common name found
"Abudefduf whitleyi Allen & Robertson, 1974",2398633,Whitle's sergeant
"Acanthurus monroviae Steindachner, 1876",5209173,Doctorfish
"Sparisoma axillare (Steindachner, 1878)",2393922,Gray parrotfish
"Gracilaria Greville, 1830",2665450,No common name found
"Ophiothela mirabilis (Verrill, 1867)",2276030,No common name found
"Sparisoma Swainson, 1839",2393893,No common name found
"Lioscorpius longiceps Günther, 1880",7525081,Slender scorpionfish
"Anisotremus taeniatus Gill, 1861",2382601,Panamic porkfish
"Gobiosoma nudum (Meek & Hildebrand, 1928)",5208841,Knobchin goby
"Enchelycore schismatorhynchus (Bleeker, 1853)",2404214,White-margined moray
"Serranus subligarius (Cope, 1870)",2388718,Belted sandfish
"Haemulon aurolineatum Cuvier, 1830",2382528,Caesar
"Parablennius pilicornis (Cuvier, 1829)",2395292,Ringneck blenny
"Panulirus White, 1847",2221633,No common name found
Monacanthidae,5896,filefishes
"Halichoeres brasiliensis (Bloch, 1791)",2384117,Brazilian wrasse
"Hippocampus pusillus Fricke, 2004",5201054,Pygmy thorny seahorse
"Sepia plangon Gray, 1849",2290784,Striking Cuttlefish
"Jasus edwardsii (Hutton, 1875)",5178279,red rock lobster
"Cinachyrella alloclada (Uliczka, 1929)",2248879,orange ball sponge
"Tedania ignis (Duchassaing & Michelotti, 1864)",2243424,Sponge
"Thamnaconus tessellatus (Günther, 1880)",2406670,Manyspotted leatherjacket
"Danio rerio (Hamilton, 1822)",9797255,Leopard danio
"Cromileptes altivelis (Valenciennes, 1828)",2387947,Barramundi cod
"Calotomus viridescens (Rüppell, 1835)",2393854,Viridescent parrotfish
"Madracis decactis (Lyman, 1859)",2259487,ten-ray star coral
"Tandanus tandanus (Mitchell, 1838)",2341877,Dewfish
"Mussismilia hispida (Verrill, 1901)",2260322,No common name found
Aglaopheniidae,8156,No common name found
"Echinaster brasiliensis Müller & Troschel, 1842",2273653,No common name found
"Thysanophrys chiltonae Schultz, 1966",2335604,Longsnout flathead
"Plectorhinchus polytaenia (Bleeker, 1853)",2382776,No common name found
"Hypoatherina tropicalis (Whitley, 1948)",2411920,Whitley's silverside
"Diagramma pictum (Thunberg, 1792)",5209594,Australian slatey
"Scarus spinus (Kner, 1868)",2393729,Greensnout parrotfish
"Platax boersii Bleeker, 1853",2394310,Golden spadefish
"Opistognathus rosenblatti Allen & Robertson, 1991",2391825,bluespotted jawfish
"Opistognathus castelnaui Bleeker, 1860",2391832,Castelnau's jawfish
"Lutjanus gibbus (Forsskål, 1775)",2385035,Buckelschnapper
"Teretoctopus alcocki G.C.Robson, 1932",2289726,No common name found
"Parona signata (Jenyns, 1841)",2391346,Argentine queenfish
"Parupeneus multifasciatus (Quoy & Gaimard, 1825)",2396623,Banded goatfish
"Epinephelus morio (Valenciennes, 1828)",2388373,Brown grouper
"Halicampus spinirostris (Dawson & Allen, 1981)",2332824,Spiny snout pipefish
"Pomadasys stridens (Forsskål, 1775)",2382872,Striped piggy
"Pseudanthias taeniatus (Klunzinger, 1884)",2387556,Rotmeer-Fahnenbarsch
"Sinularia gardineri (Pratt, 1903)",2262674,No common name found
"Ephippion guttifer (Bennett, 1831)",2407427,Common puffer
"Citharoides macrolepis (Gilchrist, 1904)",2409029,Twospot largescale flounder
"Centroscyllium fabricii (Reinhardt, 1825)",2421020,Black dogfish
"Scorpaenodes varipinnis Smith, 1957",2334388,Blotchfin scorpionfish
"Trigla lyra Linnaeus, 1758",2336771,No common name found
"Paraplagusia bilineata (Bloch, 1787)",2409798,Doublelined tonguesole
Nephropidae,4523,clawed lobsters
Gastropoda,225,Slugs
"Ictalurus furcatus (Valenciennes, 1840)",5202525,Blue catfish
"Mullus Linnaeus, 1758",2396859,mullets
"Sphyraena Artedi, 1793",2369201,Barracudas
"Epinephelus Bloch, 1793",2335319,Groupers
"Lutjanus russellii (Bleeker, 1849)",2385118,No common name found
Squatinidae,2185,angel sharks
"Diodon Linnaeus, 1758",2406531,Porcupinefishes
"Balistes Linnaeus, 1758",2333511,Triggerfish
"Gymnura van Hasselt, 1823",2420504,Stingrays
"Chondrilla australiensis Carter, 1873",5182764,No common name found
"Sufflamen fraenatum (Latreille, 1804)",2407185,Bridle triggerfish
"Puerulus angulatus (Bate, 1888)",2221629,banded whip lobster
"Lycenchelys paxillus (Goode & Bean, 1879)",2380587,Common wolf eel
"Eunephrops cadenasi Chace, 1939",2226943,scullptured lobster
"Scorpaena agassizii Goode & Bean, 1896",2334589,Longfin scorpionfish
"Uropterygius xanthopterus Bleeker, 1859",2404150,Freckleface reef-eel
"Gymnothorax pindae Smith, 1962",2404022,Pinda moray
"Chaetodon meyeri Bloch & Schneider, 1801",2385494,Maypole Butterflyfish
"Batoteuthis skolops R.E.Young & Roper, 1968",2290194,Bush-club Squid
"Gnathophis cinctus (Garman, 1899)",2403327,Hardtail conger
"Cestum veneris Lesueur, 1813",2501198,Venus girdle
"Euphyllia glabrescens (Chamisso & Eysenhardt, 1821)",2259290,joker coral
"Xanthichthys auromarginatus (Bennett, 1832)",2407037,Gilded triggerfish
"Dendrophyllia ijimai Eguchi, 1968",2259704,No common name found
"Lactarius lactarius (Bloch & Schneider, 1801)",5210442,Big jawed jumber
"Pavona varians (Verrill, 1864)",2260540,leaf coral
"Fungia concinna Verrill, 1864",2260604,mushroom coral
"Coelocarteria singaporensis (Carter, 1883)",2244325,No common name found
"Eudyptula minor (J.R.Forster, 1781)",2481646,Little Penguin
"Trachurus novaezelandiae Richardson, 1843",5210479,Yellowtail horse mackerel
"Pomacentrus alleni Burgess, 1981",2398369,Andaman damsel
"Diplectrum radiale (Quoy & Gaimard, 1824)",5210233,Aquavina
"Himantura undulata (Bleeker, 1852)",5215905,Leopard whipray
"Hoplostethus mediterraneus Cuvier, 1829",2357118,Black-mouthed alfonsin
"Balaenoptera acutorostrata Lacépède, 1804",2440728,Common Minke Whale
"Pomacanthus navarchus (Cuvier, 1831)",2396407,Blue-girdled angelfish
"Eunicella singularis (Esper, 1791)",2263955,white horny coral
"Vir philippinensis Bruce & Svoboda, 1984",2225049,No common name found
"Gymnothorax maderensis (Johnson, 1862)",2403887,Sharktooth moray
"Dactyloptena peterseni (Nyström, 1887)",2333587,Starry flying gurnard
"Upeneus davidaromi Golani, 2001",2396794,Darom's goatfish
"Parapistocalamus hedigeri Roux, 1934",2449533,Bougainville Coral Snake
"Calotomus zonarchus (Jenkins, 1903)",2393883,Yellowbar parrotfish
"Solegnathus spinosissimus (Günther, 1870)",2332695,Spiny Pipehorse
"Metanephrops australiensis (Bruce, 1966)",2226982,northwest lobster
"Gymnothorax gracilicauda Jenkins, 1903",2403981,Graceful-tailed moray
"Citharus linguatula (Linnaeus, 1758)",5213909,Atlantic spotted flounder
"Bathyraja trachura (Gilbert, 1892)",2420364,Roughtail skate
"Parupeneus signatus (Günther, 1867)",2396621,No common name found
"Pseudione murawaiensis Page, 1985",2200597,No common name found
"Dinolestes lewini (Griffith & Smith, 1834)",2394201,Jack pike
"Eumetopias jubatus (Schreber, 1776)",2433462,Steller Sea Lion
"Chironex fleckeri Southcott, 1956",2264689,Australian box jellyfish
"Scorpaenodes littoralis (Tanaka, 1917)",2334369,Cheekspot Scorpionfish
"Bryaninops tigris Larson, 1985",2375625,Black coral goby
"Coregonus albula (Linnaeus, 1758)",2351027,European cisco
"Gymnothorax reevesii (Richardson, 1845)",2403862,Reeve's moray
"Dimophyes arctica (Chun, 1897)",2264800,No common name found
"Goneplax rhomboides (Linnaeus, 1758)",2227571,Angular Crab
"Cosmocampus arctus (Jenkins & Evermann, 1889)",4286294,Snubnose pipefish
Palinuridae,4535,spiny lobsters
Chordata,44,Chordates
"Tautoga onitis (Linnaeus, 1758)",2383615,Black-fish
Rajiformes,884,Rays
"Sicyonia carinata (Brünnich, 1768)",2223250,Mediterranean rock shrimp
"Halichoeres semicinctus (Ayres, 1859)",2384234,Rock wrasse
"Scorpaenopsis gibbosa (Bloch & Schneider, 1801)",2334724,Humpback scorpionfish
"Mustelus fasciatus (Garman, 1913)",2418344,Striped smooth-hound
"Serranus Cuvier, 1816",9373339,No common name found
"Dermasterias imbricata (Grube, 1857)",2271961,Leather star
"Somniosus microcephalus (Bloch & Schneider, 1801)",2421162,Greenland shark
"Enchelycore lichenosa (Jordan & Snyder, 1901)",2404198,Reticulate hookjaw moray
"Lepidopsetta bilineata (Ayres, 1855)",5213939,Rock sole
"Astrapogon stellatus (Cope, 1867)",2396932,Conchfish
"Upeneus subvittatus (Temminck & Schlegel, 1843)",2396791,Brownband goatfish
"Chelidonichthys spinosus (McClelland, 1844)",2336783,Bluefin gurnard
"Melichthys indicus Randall & Klausewitz, 1973",2407156,Indian triggerfish
"Chlorurus gibbus (Rüppell, 1829)",5211129,Heavybeak parrotfish
"Diphyes dispar Chamisso & Eysenhardt, 1821",5185473,No common name found
"Coregonus lavaretus (Linnaeus, 1758)",2351211,Common whitefish
"Metridium de Blainville, 1824",2255724,No common name found
Pleuronectiformes,588,Flatfish
"Pagurus Fabricius, 1775",2224189,No common name found
"Dipturus batis (Linnaeus, 1758)",2420234,Common skate
"Tachypleus gigas (O.F.Müller, 1785)",1010607,coastal horseshoe crab
"Stenotomus chrysops (Linnaeus, 1766)",2392447,Scup
"Opsanus tau (Linnaeus, 1766)",2350910,Oyster Toadfish
"Ophisurus serpens (Linnaeus, 1758)",5961049,Eel
"Apogon cyanosomus Bleeker, 1853",5211867,Yellowstriped cardinalfish
"Sthenoteuthis oualaniensis (Lesson, 1830)",2290451,purpleback flying squid
"Microspathodon dorsalis (Gill, 1862)",2398756,Giant damselfish
"Enneapterygius abeli (Klausewitz, 1960)",2392967,Yellow triplefin
"Pomacentrus albicaudatus Baschieri-Salvadori, 1955",2398391,Whitefin damsel
"Spicara smaris (Linnaeus, 1758)",2393236,Deep-body pickarel
"Elacatinus saucrus (Robins, 1960)",2376745,leopard goby
"Apogon pacificus (Herre, 1935)",5211804,Pink cardinalfish
"Paraclinus mexicanus (Gilbert, 1904)",2389613,Mexican blenny
"Chaetodon larvatus Cuvier, 1831",2385353,Blue chevron butterflyfish
"Loliolus sumatrensis (d'Orbigny, 1837)",9719225,Kobi Squid
"Chaetodon speculum Cuvier, 1831",2385315,Mirror butterflyfish
"Neogobius melanostomus (Pallas, 1814)",2379089,Black spotted goby
"Sepia mestus Gray, 1849",2290802,reaper cuttlefish
"Lophiodes caulinaris (Garman, 1899)",2415048,Spottedtail angler
"Millepora dichotoma Forsskål, 1775",2265083,ramified fire coral
"Myripristis clarionensis Gilbert, 1897",2357038,Yellow soldierfish
"Eopsetta jordani (Lockington, 1879)",2409237,Petrale sole
"Elacatinus evelynae (Böhlke & Robins, 1968)",2376749,Sharknose goby
"Parapenaeopsis cornuta (Kishinouye, 1900)",2223489,coral shrimp
"Pseudochromis punctatus Kotthaus, 1970",2381599,Blackback dottyback
"Zebrasoma veliferum (Bloch, 1795)",2379877,Desjardin's sailfin tang
"Priacanthus macracanthus Cuvier, 1829",2375008,Bigeye
"Erythropodium caribaeorum (Duchassaing & Michelotti, 1860)",2262143,encrusting gorgonian
"Heteroconger Bleeker, 1868",2403127,garden eel
"Halichoeres hortulanus (Lacepède, 1801)",2384141,Checkerboard wrasse
"Leucetta floridana (Haeckel, 1872)",2236987,No common name found
"Lamna nasus (Bonnaterre, 1788)",5216239,Beaumaris shark
"Heniochus Cuvier, 1816",2385712,No common name found
"Cryptodendrum adhaesivum (Klunzinger, 1877)",2257667,adhesive sea anemone
"Acanthistius brasilianus (Cuvier, 1828)",2388066,Argentine seabass
Chaetodontidae,8517,butterflyfishes
"Arbacia Gray, 1835",2278767,No common name found
"Pontinus kuhlii (Bowdich, 1825)",2334700,Offshore rockfish
"Umbrina canariensis Valenciennes, 1843",2399683,Baardman
"Oxycirrhites typus Bleeker, 1857",2375203,Longnose hawkfish
"Chromis flavipectoralis Randall, 1988",5212279,Malayan chromis
"Upeneus moluccensis (Bleeker, 1855)",2396768,No common name found
"Spheniscus humboldti Meyen, 1834",5229386,Humboldt Penguin
"Leucoraja erinacea (Mitchill, 1825)",2419879,Little skate
"Gymnothorax polygonius Poey, 1875",2403798,Polygon moray
"Carangoides coeruleopinnatus (Rüppell, 1830)",5210547,Coastal trevally
"Strongylura strongylura (van Hasselt, 1823)",5208030,Banded needlefish
"Chelidoperca hirundinacea (Valenciennes, 1831)",2388100,Bigeye grouper
"Jasmineira elegans Saint-Joseph, 1894",2329426,No common name found
"Knipowitschia caucasica (Berg, 1916)",2375688,Caucasian dwarf goby
"Sarcotragus spinosulus Schmidt, 1862",2239000,black leather sponge
"Ircinia variabilis (Schmidt, 1862)",2239075,variable loggerhead sponge
"Ophiocoma echinata (Lamarck, 1816)",2275466,Blunt-spined Brittle Star
"Rypticus bicolor Valenciennes, 1846",2387713,Mottled soapfish
"Elacatinus limbaughi Hoese & Reader, 2001",2376748,widebanded cleaning goby
"Gobiosoma chiquita (Jenkins & Evermann, 1889)",5208838,Sonora goby
"Elacatinus puncticulatus (Ginsburg, 1938)",2376694,Redhead goby
"Myripristis pralinia Cuvier, 1829",2357054,Big eye soldierfish
"Apolemichthys xanthotis (Fraser-Brunner, 1950)",2396566,Red Sea angelfish
Fistulariidae,5902,cornetfishes
Mullidae,4287,goatfishes
"Torquigener flavimaculosus Hardy & Randall, 1983",2407271,Yellowspotted puffer
"Bodianus diana (Lacepède, 1801)",5209719,Diana's hogfish
"Halichoeres nigrescens (Bloch & Schneider, 1801)",2384107,Bubblefin wrasse
"Stethojulis balteata (Quoy & Gaimard, 1824)",2383444,Belted wrasse
"Rhabdosargus haffara (Forsskål, 1775)",2392343,Haffara seabream
"Acreichthys tomentosus (Linnaeus, 1758)",2406930,Bristle-tail file-fish
"Priacanthus arenatus Cuvier, 1829",2375036,Atlantic bigeye
"Mulloidichthys martinicus (Cuvier, 1829)",2396844,Goatfish
"Batrachoides waltersi Collette & Russo, 1981",5203922,multipored toadfish
Acanthuridae,4233,surgeonfishes
Milleporidae,7000,Fire Corals
Holocentridae,7195,soldierfishes
"Sinularia May, 1898",2262602,No common name found
"Chrysaora quinquecirrha (Desor, 1848)",5185413,Atlantic sea nettle
"Amphiprion leucokranos Allen, 1973",5212079,White-bonnet Anemonefish
"Porichthys porosissimus (Cuvier, 1829)",2350821,Atlantic midshipman
"Aglantha digitale (O.F.Müller, 1776)",2269484,pink helmet
"Zebrasoma desjardinii (Bennett, 1836)",2379874,Desjardin's sailfin tang
"Epinephelus awoara (Temminck & Schlegel, 1842)",2388451,Banded grouper
"Epinephelus caninus (Valenciennes, 1843)",2388133,Dogtooth grouper
"Myoxocephalus polyacanthocephalus (Pallas, 1814)",2333818,Great sculpin
"Tautogolabrus adspersus (Walbaum, 1792)",2382945,Cunner
"Saron marmoratus (Olivier, 1811)",2226385,marbled shrimp
