scientificName,taxonKey,Common Name
"Anarhichas lupus Linnaeus, 1758",8006460,Atlantic wolffish
"Pomatoschistus microps (Krøyer, 1838)",2379280,Common goby
"Lepomis gibbosus (Linnaeus, 1758)",2394486,Common sunfish
"Hippoglossus hippoglossus (Linnaeus, 1758)",2409218,Atlantic halibut
"Homarus gammarus (Linnaeus, 1758)",5972003,Common Lobster
"Anarhichas denticulatus Krøyer, 1845",2392210,Blue sea cat
"Manta birostris (Walbaum, 1792)",2419163,Atlantic manta
"Cheilinus undulatus Rüppell, 1835",2383313,Blue-tooth groper
"Fistularia tabacaria Linnaeus, 1758",5200941,Bluespotted cornetfish
"Micropterus Lacepède, 1802",2391100,Black Basses
"Heniochus diphreutes Jordan, 1903",2385729,False moorish idol
"Sphyraena novaehollandiae Günther, 1860",2394253,Arrow barracuda
"Chlorurus genazonatus (Randall & Bruce, 1983)",5211125,Purplestreak parrotfish
Cyprinidae,7336,Carps
"Micropterus dolomieu Lacepède, 1802",5211250,Bass
"Gymnothorax meleagris (Shaw, 1795)",2403958,Guineafowl moray
"Echidna nebulosa (Ahl, 1789)",5213106,Clouded moray
"Polycera quadrilineata (O.F.Müller, 1776)",2291758,four-striped polycera
"Sebastes viviparus Krøyer, 1845",2335390,Norway haddock
"Pagurus prideauxi Allen, 1967",2224205,No common name found
"Polycera faeroensis Lemche, 1929",2291770,No common name found
"Sander canadensis (Griffith & Smith, 1834)",2382152,Pike Perch
"Tripneustes ventricosus (Lamarck, 1816)",2278879,West Indian sea egg
"Palinurus elephas (Fabricius, 1787)",2221606,common spiny lobster
"Munida rugosa (Fabricius, 1775)",2222603,Rugose Squat Lobster
"Adamsia carciniopados (Bohadsch, 1761)",5184246,cloak anemone
"Nebrius ferrugineus (Lesson, 1831)",2417496,Giant sleepy shark
"Glossogobius giuris (Hamilton, 1822)",2378087,Bar-eyed goby
"Adalaria proxima (Alder & Hancock, 1854)",2292099,yellow false doris
"Flabellina pedata (Montagu, 1816)",5190127,violet sea slug
"Limacia clavigera (O.F.Müller, 1776)",5190033,Orange-Clubbed Sea Slug
